ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,momrule,poploc,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,nsibs,relateg,age,sex,raceg,marst,school,educrec,schltype,occscore,sei,inctot,incwage,incfarm,incss,poverty,migrat5g,movedin,binaryClass
Rented,999999.0,412.0,32285.0,1,0,0,1,0,0,1,1,0,0,5,0,0,1,3,Child,12.0,Male,White,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,206.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),162500.0,0.0,15000.0,1,1,0,0,0,0,0,0,2,1,2,0,0,1,0,Head_Householder,60.0,Male,Black_Negro,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,15000.0,0.0,0,0.0,181.0,Same_house,6,P
Owned_or_being_bought_(loan),162500.0,0.0,29449.0,1,1,1,1,0,0,0,0,2,1,4,2,0,1,0,Head_Householder,62.0,Male,White,Married_spouse_present,No_not_in_school,Grade_5-8,Not_enrolled,0.0,0.0,6360.0,0.0,0,0.0,227.0,Same_house,6,P
Owned_or_being_bought_(loan),162500.0,0.0,52000.0,1,0,1,0,2,1,0,0,0,0,2,0,0,1,0,Head_Householder,43.0,Male,White,Never_married_single,No_not_in_school,4+_years_of_college,Not_enrolled,27.0,72.0,42000.0,33000.0,0,0.0,501.0,Same_house,5,P
Owned_or_being_bought_(loan),400000.0,0.0,201316.0,1,1,1,1,0,0,0,0,2,1,3,1,1,1,0,Head_Householder,33.0,Male,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,31.0,65.0,199316.0,195516.0,0,0.0,501.0,Moved_place_not_reported,2,P
Rented,999999.0,1000.0,21010.0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,Partner_friend_visitor,25.0,Male,White,Never_married_single,Yes_in_school,4+_years_of_college,Public_school,11.0,18.0,24800.0,24000.0,0,0.0,384.0,Moved_place_not_reported,0,N
Rented,999999.0,575.0,1500.0,1,1,1,1,0,0,0,0,2,1,5,3,1,1,0,Head_Householder,34.0,Male,White,Married_spouse_present,No_not_in_school,None_or_preschool,Not_enrolled,23.0,18.0,1500.0,1500.0,0,0.0,10.0,Same_house,2,P
Rented,999999.0,1000.0,32200.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,40.0,Male,White,Divorced,No_not_in_school,1_to_3_years_of_college,Not_enrolled,24.0,47.0,32200.0,32000.0,0,0.0,499.0,Moved_place_not_reported,1,P
Rented,999999.0,112.0,12192.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,76.0,Female,White,Married_spouse_present,No_not_in_school,Grade_1-4,Not_enrolled,0.0,0.0,5448.0,0.0,0,3984.0,163.0,Same_house,0,P
Rented,999999.0,875.0,31800.0,1,1,1,1,2,1,1,1,0,0,5,0,0,1,2,Child,16.0,Male,White,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,0.0,0,0.0,210.0,Moved_place_not_reported,0,P
Rented,999999.0,575.0,16000.0,1,1,1,1,2,1,1,1,0,0,7,0,0,1,4,Child,9.0,Female,White,Never_married_single,No_not_in_school,Grade_1-4,Not_enrolled,0.0,0.0,0.0,999999.0,999999,99999.0,86.0,Moved_place_not_reported,0,P
Rented,999999.0,262.0,31000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,57.0,Female,Japanese,Widowed,No_not_in_school,Grade_12,Not_enrolled,32.0,42.0,31000.0,30000.0,0,0.0,481.0,Same_house,7,P
Owned_or_being_bought_(loan),37500.0,0.0,13800.0,1,1,0,0,0,0,0,0,2,1,2,0,0,1,0,Head_Householder,66.0,Male,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,0.0,0.0,13800.0,0.0,0,9600.0,184.0,Same_house,7,P
Owned_or_being_bought_(loan),350000.0,0.0,96380.0,1,1,1,1,0,0,0,0,1,1,5,3,0,1,0,Spouse,45.0,Female,White,Married_spouse_present,No_not_in_school,4+_years_of_college,Not_enrolled,26.0,72.0,33000.0,33000.0,0,0.0,501.0,Same_house,0,P
Owned_or_being_bought_(loan),400000.0,0.0,70000.0,1,1,1,1,0,0,0,0,2,2,4,2,0,1,0,Head_Householder,40.0,Female,White,Married_spouse_present,No_not_in_school,4+_years_of_college,Not_enrolled,41.0,68.0,0.0,0.0,0,0.0,501.0,Same_house,6,P
Rented,999999.0,575.0,17300.0,1,1,1,1,0,0,0,0,2,2,4,1,1,1,1,Head_Householder,24.0,Female,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,22.0,18.0,6500.0,6500.0,0,0.0,133.0,Moved_place_not_reported,1,P
Owned_or_being_bought_(loan),225000.0,0.0,107300.0,3,1,1,1,0,0,0,0,0,0,1,0,0,3,0,Other_non-relatives,21.0,Female,Chinese,Never_married_single,Yes_in_school,1_to_3_years_of_college,Public_school,0.0,0.0,0.0,0.0,0,0.0,1.0,Moved_place_not_reported,0,P
Rented,999999.0,537.0,26967.0,1,1,1,1,0,0,0,0,2,1,4,1,0,1,0,Head_Householder,40.0,Male,Other_Asian_or_Pacific,Married_spouse_present,Yes_in_school,4+_years_of_college,Public_school,41.0,68.0,11967.0,11967.0,0,0.0,207.0,Moved_place_not_reported,1,P
Rented,999999.0,262.0,6720.0,1,0,1,0,0,0,0,0,0,0,2,1,1,1,0,Head_Householder,35.0,Female,White,Divorced,No_not_in_school,1_to_3_years_of_college,Not_enrolled,0.0,0.0,6720.0,0.0,0,0.0,79.0,Same_house,5,P
Owned_or_being_bought_(loan),162500.0,0.0,68000.0,1,1,1,0,0,0,0,0,1,1,3,0,0,1,0,Spouse,49.0,Female,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,37.0,78.0,28000.0,28000.0,0,0.0,501.0,Same_house,0,P
Owned_or_being_bought_(loan),225000.0,0.0,44456.0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,Head_Householder,48.0,Female,Black_Negro,Never_married_single,No_not_in_school,Grade_12,Not_enrolled,30.0,24.0,33728.0,24000.0,0,3828.0,501.0,Same_house,6,P
Owned_or_being_bought_(loan),77500.0,0.0,39000.0,1,1,1,1,0,0,0,0,1,1,4,2,0,1,0,Spouse,41.0,Female,Black_Negro,Married_spouse_present,No_not_in_school,4+_years_of_college,Not_enrolled,29.0,72.0,7000.0,7000.0,0,0.0,300.0,Same_house,0,P
Owned_or_being_bought_(loan),112500.0,0.0,33140.0,1,1,1,1,0,0,0,0,2,1,3,1,0,1,0,Head_Householder,42.0,Male,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,23.0,18.0,25000.0,25000.0,0,0.0,342.0,Same_house,6,P
Owned_or_being_bought_(loan),400000.0,0.0,195516.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,35.0,Male,Black_Negro,Never_married_single,Yes_in_school,4+_years_of_college,Public_school,79.0,92.0,195516.0,195516.0,0,0.0,501.0,Moved_place_not_reported,1,P
Owned_or_being_bought_(loan),112500.0,0.0,61400.0,1,1,1,1,2,1,1,1,0,0,5,0,0,1,2,Child,21.0,Female,White,Never_married_single,No_not_in_school,Grade_12,Not_enrolled,18.0,44.0,400.0,400.0,0,0.0,392.0,Same_house,0,P
Owned_or_being_bought_(loan),52500.0,0.0,25008.0,1,1,1,1,0,0,0,0,0,0,6,0,0,1,0,Grandchild,12.0,Male,Black_Negro,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,151.0,Same_house,0,P
Owned_or_being_bought_(loan),275000.0,0.0,87000.0,1,1,1,1,0,0,0,0,1,2,4,2,0,1,0,Spouse,40.0,Male,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,20.0,8.0,40000.0,40000.0,0,0.0,501.0,Same_house,0,P
Rented,999999.0,875.0,38800.0,1,2,1,1,0,0,0,0,0,0,10,0,0,1,3,Sibling,24.0,Female,White,Married_spouse_absent,No_not_in_school,Grade_12,Not_enrolled,41.0,68.0,0.0,0.0,0,0.0,147.0,Moved_place_not_reported,0,P
Rented,999999.0,575.0,28000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,26.0,Female,White,Never_married_single,No_not_in_school,4+_years_of_college,Not_enrolled,41.0,72.0,28000.0,28000.0,0,0.0,434.0,Moved_place_not_reported,1,P
Owned_or_being_bought_(loan),162500.0,0.0,16182.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,77.0,Female,White,Widowed,No_not_in_school,Grade_12,Not_enrolled,27.0,39.0,16182.0,0.0,0,10367.0,272.0,Same_house,7,P
Rented,999999.0,187.0,7032.0,1,0,1,0,1,1,0,0,0,0,6,0,0,1,4,Child,10.0,Male,White,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,42.0,Same_house,0,P
Rented,999999.0,362.0,63000.0,1,1,1,1,0,0,0,0,0,0,7,0,0,1,0,Other_relatives,25.0,Male,White,Never_married_single,Yes_in_school,Grade_12,Public_school,27.0,22.0,13000.0,13000.0,0,0.0,318.0,Same_house,0,P
Rented,999999.0,512.0,5000.0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,20.0,Male,White,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,18.0,19.0,5000.0,5000.0,0,0.0,78.0,Same_house,1,P
Owned_or_being_bought_(loan),137500.0,0.0,60650.0,1,1,2,1,0,0,0,0,1,1,5,2,0,1,0,Spouse,38.0,Female,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,27.0,64.0,15200.0,13600.0,0,0.0,400.0,Moved_place_not_reported,0,P
Rented,999999.0,875.0,3431.0,1,1,1,1,2,1,1,1,0,0,4,0,0,1,1,Child,21.0,Female,Other_Asian_or_Pacific,Never_married_single,Yes_in_school,Grade_12,Public_school,22.0,61.0,1685.0,1685.0,0,0.0,26.0,Moved_place_not_reported,0,P
Rented,999999.0,725.0,22200.0,1,1,1,1,0,0,0,0,1,1,4,2,1,1,0,Spouse,33.0,Female,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,6.0,7.0,7200.0,7200.0,0,0.0,177.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),350000.0,0.0,42000.0,1,0,2,0,1,1,0,0,0,0,5,0,0,1,1,Child,8.0,Female,White,Never_married_single,Yes_in_school,Grade_1-4,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,277.0,Moved_place_not_reported,0,P
Rented,999999.0,625.0,70000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,32.0,Male,White,Never_married_single,No_not_in_school,Grade_12,Not_enrolled,20.0,8.0,70000.0,70000.0,0,0.0,501.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),350000.0,0.0,198616.0,1,1,1,1,2,1,1,1,0,0,6,0,0,1,3,Child,7.0,Male,White,Never_married_single,Yes_in_school,None_or_preschool,Private_school_(19601990),0.0,0.0,0.0,999999.0,999999,99999.0,501.0,Same_house,0,P
Owned_or_being_bought_(loan),400000.0,0.0,39000.0,1,0,1,0,1,1,0,0,0,0,2,0,0,1,0,Child,6.0,Female,White,Never_married_single,Yes_in_school,None_or_preschool,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,456.0,Same_house,0,P
Owned_or_being_bought_(loan),400000.0,0.0,91524.0,1,1,1,1,0,0,0,0,1,1,4,2,0,1,0,Spouse,46.0,Female,White,Married_spouse_present,No_not_in_school,4+_years_of_college,Not_enrolled,35.0,66.0,30800.0,30000.0,0,0.0,501.0,Same_house,0,P
Rented,999999.0,212.0,35000.0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,52.0,Male,White,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,33.0,60.0,35000.0,25000.0,0,0.0,501.0,Same_house,7,P
Owned_or_being_bought_(loan),187500.0,0.0,10211.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,57.0,Male,White,Divorced,No_not_in_school,Grade_12,Not_enrolled,41.0,68.0,10211.0,10211.0,0,0.0,158.0,Moved_place_not_reported,1,P
Owned_or_being_bought_(loan),400000.0,0.0,43000.0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,39.0,Male,White,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,25.0,18.0,43000.0,43000.0,0,0.0,501.0,Same_house,6,P
Owned_or_being_bought_(loan),275000.0,0.0,29560.0,1,2,2,2,2,1,1,1,0,0,6,0,0,1,1,Child,7.0,Male,White,Never_married_single,Yes_in_school,Grade_1-4,Private_school_(19601990),0.0,0.0,0.0,999999.0,999999,99999.0,169.0,Moved_place_not_reported,0,P
Rented,999999.0,337.0,28300.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,33.0,Female,White,Never_married_single,No_not_in_school,4+_years_of_college,Not_enrolled,17.0,8.0,28300.0,28000.0,0,0.0,439.0,Same_house,6,P
Owned_or_being_bought_(loan),400000.0,0.0,135500.0,1,1,0,0,0,0,0,0,2,1,2,0,0,1,0,Head_Householder,55.0,Male,White,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,31.0,33.0,87500.0,85000.0,0,0.0,501.0,Same_house,6,P
Rented,999999.0,575.0,20000.0,1,0,0,1,0,0,0,0,0,0,4,0,0,1,1,Sibling,19.0,Male,White,Married_spouse_absent,No_not_in_school,None_or_preschool,Not_enrolled,17.0,11.0,13000.0,13000.0,0,0.0,154.0,Moved_place_not_reported,0,N
Owned_or_being_bought_(loan),112500.0,0.0,39494.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,57.0,Female,White,Divorced,No_not_in_school,4+_years_of_college,Not_enrolled,26.0,72.0,39494.0,33678.0,0,0.0,501.0,Same_house,5,P
Owned_or_being_bought_(loan),400000.0,0.0,143515.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,73.0,Male,White,Divorced,No_not_in_school,4+_years_of_college,Not_enrolled,61.0,93.0,143515.0,0.0,0,0.0,501.0,Same_house,2,P
Rented,999999.0,875.0,23680.0,1,1,1,2,0,0,0,0,1,1,6,2,0,1,0,Spouse,50.0,Female,Black_Negro,Married_spouse_present,No_not_in_school,Grade_12,Not_enrolled,22.0,18.0,280.0,280.0,0,0.0,139.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),112500.0,0.0,21584.0,1,1,1,1,2,1,1,1,0,0,5,0,0,1,2,Child,17.0,Male,White,Never_married_single,Yes_in_school,Grade_11,Public_school,0.0,0.0,0.0,0.0,0,0.0,142.0,Same_house,0,P
Rented,999999.0,412.0,22200.0,1,1,1,1,0,0,0,0,2,1,6,3,3,1,0,Head_Householder,29.0,Male,White,Married_spouse_present,No_not_in_school,Grade_5-8,Not_enrolled,25.0,15.0,8640.0,8640.0,0,0.0,130.0,Moved_place_not_reported,2,P
Rented,999999.0,537.0,8000.0,1,1,2,1,0,0,0,0,2,1,6,1,0,1,0,Parent,48.0,Female,White,Married_spouse_present,No_not_in_school,None_or_preschool,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,47.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),137500.0,0.0,13190.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,68.0,Female,White,Married_spouse_present,No_not_in_school,None_or_preschool,Not_enrolled,0.0,0.0,4000.0,0.0,0,0.0,176.0,Same_house,0,P
Rented,999999.0,875.0,35000.0,1,1,1,1,0,0,0,0,2,1,4,2,1,1,0,Head_Householder,37.0,Male,White,Married_spouse_present,No_not_in_school,1_to_3_years_of_college,Not_enrolled,25.0,18.0,35000.0,35000.0,0,0.0,278.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),162500.0,0.0,48459.0,1,1,1,1,0,0,0,0,1,1,4,1,0,1,0,Spouse,32.0,Female,White,Married_spouse_present,No_not_in_school,Grade_10,Not_enrolled,0.0,0.0,0.0,0.0,0,0.0,373.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),137500.0,0.0,22000.0,1,1,1,1,2,1,1,1,0,0,6,0,0,1,3,Child,16.0,Female,White,Never_married_single,Yes_in_school,Grade_11,Public_school,24.0,44.0,1000.0,1000.0,0,0.0,133.0,Same_house,0,P
Owned_or_being_bought_(loan),137500.0,0.0,25744.0,1,0,1,0,0,0,0,0,0,0,3,2,1,1,0,Head_Householder,26.0,Female,White,Divorced,No_not_in_school,Grade_12,Not_enrolled,25.0,44.0,25744.0,18544.0,0,0.0,258.0,Moved_place_not_reported,2,P
Owned_or_being_bought_(loan),275000.0,0.0,85194.0,1,1,2,1,2,1,1,1,0,0,6,0,0,1,2,Child,23.0,Male,White,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,32.0,37.0,13194.0,13194.0,0,0.0,478.0,Same_house,0,P
Owned_or_being_bought_(loan),225000.0,0.0,76152.0,1,1,1,1,0,0,0,0,1,1,3,1,0,1,0,Spouse,63.0,Female,White,Married_spouse_present,No_not_in_school,Grade_10,Not_enrolled,11.0,11.0,15640.0,0.0,0,13972.0,501.0,Same_house,0,P
Rented,999999.0,312.0,89220.0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,Sibling,43.0,Male,Black_Negro,Married_spouse_absent,No_not_in_school,Grade_1-4,Not_enrolled,20.0,52.0,89220.0,75000.0,0,5568.0,501.0,Moved_place_not_reported,0,P
Owned_or_being_bought_(loan),62500.0,0.0,49241.0,1,2,1,1,4,1,3,1,0,0,7,0,0,1,3,Sibling,19.0,Male,White,Never_married_single,Yes_in_school,Grade_12,Public_school,21.0,18.0,9500.0,9500.0,0,0.0,244.0,Same_house,0,P
Owned_or_being_bought_(loan),350000.0,0.0,12000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Head_Householder,59.0,Male,Black_Negro,Never_married_single,No_not_in_school,1_to_3_years_of_college,Not_enrolled,33.0,48.0,12000.0,0.0,0,0.0,186.0,Same_house,8,P
Owned_or_being_bought_(loan),275000.0,0.0,9500.0,1,1,1,1,2,1,1,1,0,0,5,0,0,1,2,Child,11.0,Male,White,Never_married_single,Yes_in_school,Grade_5-8,Public_school,0.0,0.0,0.0,999999.0,999999,99999.0,64.0,Same_house,0,P
Rented,999999.0,487.0,28268.0,1,1,0,0,0,0,0,0,1,1,2,0,0,1,0,Spouse,51.0,Female,Other_Asian_or_Pacific,Married_spouse_present,No_not_in_school,4+_years_of_college,Not_enrolled,22.0,32.0,12472.0,6000.0,0,0.0,340.0,Same_house,0,N
